userID,prod_ID,rating,imgurl,prod_name
A5JLAU2ARJ0BO,1400532655,1.0,http://ecx.images-amazon.com/images/I/51lBXZsMsGL._SY300_.jpg,Barnes &amp; Noble Nook Color eReader
A1T1YSCDW0PD25,B00000DM9W,5.0,http://ecx.images-amazon.com/images/I/41N1GD8263L._SY300_.jpg,Sony ICF-S79V Weather Band Shower Radio (Discontinued by Manufacturer)
A3CW0ZLUO5X2B1,B00000K135,5.0,http://ecx.images-amazon.com/images/I/71QD0N8R7DL._SX300_.gif,Brother M231 1/2-Inch Black on White Tape for P-Touch Labeler
A22CW0ZHY3NJH8,B00000K135,5.0,http://ecx.images-amazon.com/images/I/71QD0N8R7DL._SX300_.gif,Brother M231 1/2-Inch Black on White Tape for P-Touch Labeler
A231WM2Z2JL0U3,B00000K4KH,5.0,http://ecx.images-amazon.com/images/I/41SO%2B1PFF2L._SY300_.jpg,Kensington 64068F MicroSaver Notebook Lock and Security Cable (PC/Mac)
A38RMU1Y5TDP9,B00001P4XA,5.0,http://ecx.images-amazon.com/images/I/31LMPJXuJ-L._SY300_.jpg,Koss 'The Plug' In-Ear Headphones (Black)
A1J75JJ0Q2OEJN,B00001P4ZH,5.0,http://ecx.images-amazon.com/images/I/41jJ0q1xWYL._SY300_.jpg,Koss PortaPro Headphones with Case
A6FIAB28IS79,B00001P4ZH,3.0,http://ecx.images-amazon.com/images/I/41jJ0q1xWYL._SY300_.jpg,Koss PortaPro Headphones with Case
A6FIAB28IS79,B00001W0DI,5.0,http://ecx.images-amazon.com/images/I/31lIwMurmnL.jpg,Sony Studio Monitor MDR-V600 Stereo Headphone (Discontinued by Manufacturer)
A1F9Z42CFF9IAY,B00001WRSJ,2.0,http://ecx.images-amazon.com/images/I/41ADlzRP9hL._SY300_.jpg,Sony MDRV6 Studio Monitor Headphones with CCAW Voice Coil
A6FIAB28IS79,B00003CWDH,4.0,http://ecx.images-amazon.com/images/I/41oLPzhlrcL._SX300_.jpg,Monster Cable MP AV 800 PowerCenter with Surge Protection (Discontinued by Manufacturer)
A1ODOGXEYECQQ8,B00004SABB,4.0,http://ecx.images-amazon.com/images/I/41KMIyGAhyL._SX300_.jpg,Bushnell Powerview Compact Folding Roof Prism Binocular
A5JLAU2ARJ0BO,B00004SB92,4.0,http://ecx.images-amazon.com/images/I/41MYKJ03NAL._SX300_.jpg,Cisco-Linksys BEFSR41 EtherFast Cable/DSL Router with 4-Port 10/100 Switch
A231WM2Z2JL0U3,B00004SB92,5.0,http://ecx.images-amazon.com/images/I/41MYKJ03NAL._SX300_.jpg,Cisco-Linksys BEFSR41 EtherFast Cable/DSL Router with 4-Port 10/100 Switch
A1EXGL6L0QQ0M5,B00004SB92,5.0,http://ecx.images-amazon.com/images/I/41MYKJ03NAL._SX300_.jpg,Cisco-Linksys BEFSR41 EtherFast Cable/DSL Router with 4-Port 10/100 Switch
A1F9Z42CFF9IAY,B00004SB92,4.0,http://ecx.images-amazon.com/images/I/41MYKJ03NAL._SX300_.jpg,Cisco-Linksys BEFSR41 EtherFast Cable/DSL Router with 4-Port 10/100 Switch
A1T1YSCDW0PD25,B00004TDLD,5.0,http://ecx.images-amazon.com/images/I/512SVGHDK0L._SX300_.jpg,Learning Resources Sum Swamp Game
A4WEZJOIZIV4U,B00004THCZ,4.0,http://ecx.images-amazon.com/images/I/41xWU7V7fIL._SY300_.jpg,Canon EF 75-300mm f/4-5.6 III USM Telephoto Zoom Lens for Canon SLR Cameras
AWPODHOB4GFWL,B00004TWM6,5.0,http://ecx.images-amazon.com/images/I/51aRuW7B8VL._SX300_.jpg,Fujifilm 7025227 Quick Snap Waterproof 35mm Single Use Camera (Blue/Green/White)
A12DQZKRKTNF5E,B00004W3ZQ,5.0,http://ecx.images-amazon.com/images/I/41CIRUEojYL._SX300_.jpg,Legrand C210 Cord Mate II Kit
A203OCQQ12MAVT,B00004W3ZQ,5.0,http://ecx.images-amazon.com/images/I/41CIRUEojYL._SX300_.jpg,Legrand C210 Cord Mate II Kit
A3PD8JD9L4WEII,B00004WCGF,5.0,http://ecx.images-amazon.com/images/I/61m%2B7CdI%2BuL._SY300_.jpg,Canon Deluxe Gadget Bag 100EG
A4WEZJOIZIV4U,B00004WCIC,4.0,http://ecx.images-amazon.com/images/I/41YJM7YWQ2L._SX300_.jpg,Canon RC-1 Wireless Remote Control for Select DSLR Cameras
A4WEZJOIZIV4U,B00004XOM3,5.0,http://ecx.images-amazon.com/images/I/419STM7GVWL._SX300_.jpg,Canon EF 100mm f/2.8 Macro USM Lens for Canon SLR Cameras
A25C2M3QF9G7OQ,B00004XOM3,5.0,http://ecx.images-amazon.com/images/I/419STM7GVWL._SX300_.jpg,Canon EF 100mm f/2.8 Macro USM Lens for Canon SLR Cameras
A1CMD08Z49PGKQ,B00004Z5D1,4.0,http://ecx.images-amazon.com/images/I/313JV514DWL._SX300_.jpg,Belkin Anti-Static Wrist Band with Adjustable Grounding
A3OXHLG6DIBRW8,B00004Z5M1,5.0,http://ecx.images-amazon.com/images/I/41SSFTGYDXL._SX300_.jpg,Belkin Hi-Speed USB 2.0 Cable (10 Feet)
A5JLAU2ARJ0BO,B00004Z5M1,5.0,http://ecx.images-amazon.com/images/I/41SSFTGYDXL._SX300_.jpg,Belkin Hi-Speed USB 2.0 Cable (10 Feet)
A250AXLRBVYKB4,B00004Z5M1,5.0,http://ecx.images-amazon.com/images/I/41SSFTGYDXL._SX300_.jpg,Belkin Hi-Speed USB 2.0 Cable (10 Feet)
A25C2M3QF9G7OQ,B00004Z5PY,5.0,http://ecx.images-amazon.com/images/I/41BJB7ZK2HL._SX300_.jpg,Belkin Pro Series USB Device Cable 16 Feet
A22CW0ZHY3NJH8,B00004Z5PY,5.0,http://ecx.images-amazon.com/images/I/41BJB7ZK2HL._SX300_.jpg,Belkin Pro Series USB Device Cable 16 Feet
ARBKYIVNYWK3C,B00004Z5PY,5.0,http://ecx.images-amazon.com/images/I/41BJB7ZK2HL._SX300_.jpg,Belkin Pro Series USB Device Cable 16 Feet
A3OXHLG6DIBRW8,B00004ZCJE,5.0,http://ecx.images-amazon.com/images/I/41Wf76ZGXHL._SY300_.jpg,Tiffen 46mm UV Protection Filter
A36K2N527TXXJN,B00004ZCJE,4.0,http://ecx.images-amazon.com/images/I/41Wf76ZGXHL._SY300_.jpg,Tiffen 46mm UV Protection Filter
